id,Nome,Genero,Idade,Raça,Formação,Estado,Tempo de casa,Departamento,Senioridade,Idade Ingresso
2404,Joaquim de Vargas,Masc,22,pardo,Ensino Superior,São Paulo,8.0,Compras,Analista Pleno,14.0
2405,Núbia de Lins,Fem,23,pardo,Mestrado,Acre,6.0,Marketing,Gerente,17.0
2406,Xavier Bernardo de Abreu,Masc,23,pardo,Ensino Superior,Sergipe,2.0,Operações,Analista Júnior,21.0
2407,Hugo Wellington Ilgriprum Lopes de Malta,Masc,23,indígena,Ensino Superior,Rio de Janeiro,2.0,Marketing,Analista Sênior,21.0
2408,Ronaldo Ettomavic do Amaral Júnior,Masc,29,branco,Ensino Superior,Goiás,5.0,Contabilidade,Gerente,24.0
2409,Samila Lígia de Peixoto da Paraíba,Fem,36,pardo,Pós graduação,Ceará,9.0,Compras,Analista Sênior,27.0
2410,Olavo de Palhares Auomson,Masc,27,pardo,Doutorado,Rio de Janeiro,2.0,Recursos Humanos,Analista Júnior,25.0
2411,Cristiane Souto Necoã,Fem,28,pardo,Doutorado,Rio Grande do Sul,2.0,Operações,Analista Sênior,26.0
2412,Thaíssa de Barbosa Gudego,Fem,25,branco,Ensino Médio,Mato Grosso do Sul,5.0,Compras,Analista Júnior,20.0
2413,Lúcio César Iyuke Eshumov,Masc,23,pardo,Ensino Superior,Minas Gerais,6.0,Operações,Analista Pleno,17.0
2414,Adônis de Fraga,Masc,35,pardo,Ensino Superior,Rio de Janeiro,2.0,Marketing,Analista Pleno,33.0
2415,Diogo Micael Didoui Eoson,Masc,31,pardo,Pós graduação,Rio Grande do Sul,10.0,Recursos Humanos,Analista Júnior,21.0
2416,Artur de Barros Xisvrivic Dias Júnior,Masc,31,pardo,Ensino Médio,Amazonas,2.0,Operações,Analista Júnior,29.0
2417,João de Brito,Masc,28,pardo,Ensino Superior,São Paulo,0.0,Contabilidade,Analista Pleno,28.0
2418,Suzanne Cleuza de Santana,Fem,29,pardo,Doutorado,Santa Catarina,4.0,TI,Estagiário,25.0
2419,Mariano Navernão Milani Júnior,Masc,28,pardo,Doutorado,Rio Grande do Sul,6.0,TI,Gerente,22.0
2420,Ederson Giuseppe Mourão,Masc,30,pardo,Ensino Superior,Goiás,5.0,Vendas,Analista Pleno,25.0
2421,Laércio Niewo,Masc,35,branco,Ensino Superior,Pará,10.0,TI,Analista Júnior,25.0
2422,Nair dos Santos,Fem,49,branco,Pós graduação,Pernambuco,11.0,Operações,Analista Pleno,38.0
2423,Madalena Rosimeire Yfoz de Oliveira,Fem,31,branco,Mestrado,Maranhão,2.0,Desenvolvimento de Produtos,Analista Pleno,29.0
2424,Antônio de Oliveira,Masc,32,pardo,Ensino Superior,Piauí,7.0,Recursos Humanos,Analista Júnior,25.0
2425,Inácio Aeason,Masc,27,branco,Ensino Superior,Sergipe,12.0,Desenvolvimento de Produtos,Analista Júnior,15.0
2426,Luiz Ydasov da Silva,Masc,30,branco,Pós graduação,Rio Grande do Sul,5.0,Compras,Analista Sênior,25.0
2427,Zeca de Figueiredo,Masc,45,pardo,Doutorado,Alagoas,8.0,Desenvolvimento de Produtos,Analista Sênior,37.0
2428,Max Alberto da Gama Rodrigues,Masc,40,pardo,Mestrado,Santa Catarina,9.0,Marketing,Analista Sênior,31.0
2429,Moacyr da Serra,Masc,24,pardo,Pós graduação,São Paulo,8.0,Desenvolvimento de Produtos,Gerente,16.0
2430,Juliano da Lira Castelo,Masc,37,pardo,Ensino Superior,São Paulo,5.0,Operações,Analista Júnior,32.0
2431,Milton Issorno Choa Nuchiya,Masc,41,branco,Ensino Superior,Pará,6.0,Marketing,Analista Pleno,35.0
2432,Orlando Eliel do Paraná,Masc,37,branco,Pós graduação,Ceará,1.0,Marketing,Estagiário,36.0
2433,Dante de Salgado,Masc,33,branco,Ensino Médio,Sergipe,9.0,Marketing,Analista Pleno,24.0
2434,Elisa Lara de Maia,Fem,29,branco,Ensino Superior,Mato Grosso do Sul,8.0,Desenvolvimento de Produtos,Analista Pleno,21.0
2435,Kim de Alencar,Masc,35,pardo,Pós graduação,Sergipe,0.0,Desenvolvimento de Produtos,Analista Júnior,35.0
2436,Ali de Madureira Júnior,Masc,26,branco,Ensino Superior,Bahia,10.0,Recursos Humanos,Analista Pleno,16.0
2437,Moacyr Couto dos Santos,Masc,30,pardo,Ensino Superior,Piauí,5.0,Compras,Gerente,25.0
2438,Talita Paula Prates,Fem,19,pardo,Ensino Superior,Maranhão,5.0,Compras,Analista Júnior,14.0
2439,Antônio Mário Agra,Masc,23,pardo,Mestrado,Amazonas,2.0,TI,Analista Júnior,21.0
2440,Clara Hilda de Garcia do Nascimento,Fem,25,branco,Mestrado,Rio Grande do Sul,10.0,Compras,Estagiário,15.0
2441,Samanta Tatiane de Lins,Fem,26,preto,Pós graduação,Pernambuco,6.0,TI,Analista Júnior,20.0
2442,Júlio Walter Ozcavic Tonem,Masc,24,pardo,Doutorado,Mato Grosso do Sul,7.0,Administrativo,Gerente,17.0
2443,João Aécio Cuwima,Masc,23,pardo,Ensino Superior,Maranhão,5.0,Operações,Analista Sênior,18.0
2444,Murilo de Munhoz,Masc,23,preto,Mestrado,Piauí,3.0,TI,Analista Pleno,20.0
2445,Nicolas Áureo Purinda da Silva,Masc,34,branco,Ensino Superior,Santa Catarina,9.0,Administrativo,Analista Sênior,25.0
2446,Francisco Gilson Enneol de Vargas,Masc,25,pardo,Ensino Superior,São Paulo,2.0,Recursos Humanos,Analista Júnior,23.0
2447,Álvaro Emílio de Ayres,Masc,35,pardo,Ensino Médio,Rio Grande do Sul,2.0,Operações,Analista Júnior,33.0
2448,Kauê Arna Moreno,Masc,31,branco,Ensino Superior,São Paulo,7.0,Recursos Humanos,Analista Pleno,24.0
2449,Raquel Dara Ienirnov,Fem,21,pardo,Ensino Superior,Santa Catarina,6.0,Contabilidade,Analista Júnior,15.0
2450,Domingos Áureo da Silva de Mello,Masc,20,pardo,Mestrado,Espírito Santo,4.0,Desenvolvimento de Produtos,Analista Sênior,16.0
2451,Willian Walter Couto Branco Weber,Masc,36,branco,Doutorado,São Paulo,2.0,Compras,Analista Júnior,34.0
2452,Rodrigo do Paraná,Masc,32,pardo,Ensino Superior,Ceará,9.0,TI,Analista Júnior,23.0
2453,Roberval Jorge Milani de Meireles,Masc,55,pardo,Mestrado,Santa Catarina,2.0,Compras,Analista Pleno,53.0
2454,Albino Nigui,Masc,24,branco,Ensino Superior,Amapá,9.0,Compras,Estagiário,15.0
2455,Ismael da Silva de São Pedro,Masc,45,branco,Ensino Superior,Rio de Janeiro,8.0,Desenvolvimento de Produtos,Analista Júnior,37.0
2456,Paulo Otávio Naogesman,Masc,35,pardo,Ensino Superior,Minas Gerais,9.0,TI,Gerente,26.0
2457,Clotilde Raiane de Duarte Imornimi,Fem,30,preto,Mestrado,Santa Catarina,5.0,Marketing,Gerente,25.0
2458,Augusto de Sampaio da Lira,Masc,28,pardo,Pós graduação,Rio de Janeiro,3.0,Desenvolvimento de Produtos,Analista Pleno,25.0
2459,Tainá Meire de Brito Ono,Fem,38,preto,Mestrado,Rio Grande do Sul,3.0,Administrativo,Gerente,35.0
2460,Aldo do Rio,Masc,37,branco,Ensino Superior,São Paulo,9.0,Recursos Humanos,Analista Júnior,28.0
2461,Altino Fagner de Paranhos,Masc,28,pardo,Ensino Superior,Piauí,9.0,Contabilidade,Gerente,19.0
2462,Fábio Howa,Masc,22,branco,Ensino Superior,Rio Grande do Sul,5.0,Administrativo,Analista Sênior,17.0
2463,Simão Amarildo Befukide de Pimentel,Masc,24,preto,Pós graduação,Rio de Janeiro,8.0,TI,Analista Júnior,16.0
2464,Junior Teahashi de Oliveira Espada,Masc,20,pardo,Ensino Superior,Amapá,0.0,Compras,Analista Pleno,20.0
2465,Nivaldo Wally dos Pinhais da Conceição,Masc,37,branco,Ensino Superior,Pernambuco,4.0,Recursos Humanos,Gerente,33.0
2466,Luiz Hércules de Brandão,Masc,24,branco,Pós graduação,Roraima,2.0,TI,Analista Pleno,22.0
2467,Caio Ezequiel Werner,Masc,19,branco,Pós graduação,Tocantins,1.0,Vendas,Analista Júnior,18.0
2469,Altair Iago de Paula Dutra Dapu,Masc,38,branco,Ensino Superior,Distrito Federal,6.0,Contabilidade,Analista Sênior,32.0
2470,Simão Orlando do Maranhão,Masc,18,pardo,Ensino Superior,Maranhão,4.0,Desenvolvimento de Produtos,Analista Júnior,14.0
2471,Adílson de Barboza da Paixão,Masc,22,branco,Pós graduação,Roraima,8.0,Compras,Analista Pleno,14.0
2472,David Wilson Thisfon de Fonseca Werner,Masc,21,pardo,Ensino Superior,Amazonas,1.0,TI,Analista Júnior,20.0
2473,Edinaldo de Uchôa Atte,Masc,33,pardo,Ensino Superior,Goiás,1.0,Contabilidade,Estagiário,32.0
2474,Heitor Márcio da Paixão,Masc,31,pardo,Ensino Superior,Rio de Janeiro,5.0,Administrativo,Analista Pleno,26.0
2475,Sandra Gomes de Pascoal Proa,Fem,38,preto,Pós graduação,Mato Grosso do Sul,6.0,Administrativo,Analista Pleno,32.0
2476,Olga Eulália da Silva,Fem,32,branco,Doutorado,Rio de Janeiro,9.0,Vendas,Analista Júnior,23.0
2477,Ana de Silveira Wenanvic Eniã,Fem,38,branco,Ensino Superior,Rio de Janeiro,7.0,Operações,Analista Sênior,31.0
2478,Murilo João Rosatto de Medeiros Júnior,Masc,23,pardo,Ensino Superior,São Paulo,3.0,Desenvolvimento de Produtos,Analista Sênior,20.0
2479,Magali Melanie Bozuri,Fem,42,branco,Ensino Médio,Paraíba,8.0,Desenvolvimento de Produtos,Analista Júnior,34.0
2480,Severino Manoel Rossi,Masc,23,pardo,Ensino Superior,São Paulo,8.0,Operações,Gerente,15.0
2481,Edson dos Santos,Masc,30,branco,Mestrado,Roraima,7.0,Contabilidade,Analista Sênior,23.0
2482,Camilo Nerni,Masc,33,branco,Mestrado,Santa Catarina,6.0,Compras,Analista Júnior,27.0
2483,Plínio de Garcia Borba,Masc,34,branco,Ensino Superior,Rio de Janeiro,2.0,TI,Analista Júnior,32.0
2484,Alexandre de Salvador do Rio,Masc,19,branco,Ensino Médio,Rio de Janeiro,5.0,Compras,Analista Pleno,14.0
2485,Ali Mateus de Campos Fortes Numutata,Masc,30,pardo,Mestrado,Amapá,5.0,Compras,Estagiário,25.0
2486,Yuri Branco Aezucleman,Masc,30,pardo,Doutorado,Rio de Janeiro,5.0,Compras,Gerente,25.0
2487,Janaína Maciel,Fem,57,preto,Ensino Superior,Goiás,6.0,Contabilidade,Analista Pleno,51.0
2488,Diogo Adônis da Silva,Masc,42,pardo,Mestrado,Paraná,2.0,Recursos Humanos,Gerente,40.0
2490,Lucas Gilberto Ornaoson,Masc,38,branco,Mestrado,Roraima,6.0,Vendas,Analista Sênior,32.0
2491,Eunice Isaiane Moreno,Fem,22,branco,Mestrado,Paraíba,7.0,Administrativo,Analista Júnior,15.0
2492,Itamara Cíntia Oepi da Graça,Fem,41,branco,Ensino Superior,Minas Gerais,8.0,Vendas,Analista Pleno,33.0
2493,Armando de Souza,Masc,20,pardo,Ensino Superior,Pará,2.0,Recursos Humanos,Estagiário,18.0
2494,Simone Gomes Fapo,Fem,39,pardo,Doutorado,Bahia,10.0,Operações,Analista Pleno,29.0
2495,Ederson Vitor de Bragança Esu,Masc,37,preto,Ensino Superior,Bahia,8.0,Desenvolvimento de Produtos,Analista Pleno,29.0
2496,Jeferson Avelino de Souza Júnior,Masc,38,branco,Ensino Superior,Distrito Federal,8.0,Operações,Analista Júnior,30.0
2497,Charlene Rossi,Fem,49,pardo,Ensino Superior,Santa Catarina,7.0,Compras,Analista Sênior,42.0
2498,Jeferson de Ortiz,Masc,47,branco,Ensino Superior,Mato Grosso do Sul,4.0,Contabilidade,Analista Sênior,43.0
2499,Janete Léia Buarque,Fem,22,branco,Pós graduação,Paraná,4.0,Contabilidade,Analista Sênior,18.0
2500,Rose Núbia de Espanha,Fem,19,branco,Pós graduação,Minas Gerais,3.0,Vendas,Estagiário,16.0
2501,Jacinto Baltazar dos Santos Júnior,Masc,32,amarelo,Ensino Superior,Distrito Federal,9.0,Vendas,Analista Pleno,23.0
2502,Keyla Ayu Terceiro,Fem,28,preto,Ensino Superior,Rio de Janeiro,5.0,Administrativo,Analista Pleno,23.0
2503,Luzia Hellen Werner,Fem,29,branco,Mestrado,Rio de Janeiro,0.0,Compras,Analista Júnior,29.0
2504,Rivaldo Torres,Masc,31,pardo,Pós graduação,Rio Grande do Sul,5.0,Compras,Estagiário,26.0
2505,Cristina Veay de Carvalho das Neves,Fem,36,pardo,Ensino Superior,Paraná,3.0,Marketing,Analista Sênior,33.0
2506,Guilherme da Silva,Masc,33,branco,Pós graduação,Rondônia,14.0,Desenvolvimento de Produtos,Gerente,19.0
2507,Paula de Leite Gomes,Fem,22,pardo,Pós graduação,Ceará,7.0,Desenvolvimento de Produtos,Analista Júnior,15.0
2508,Charlene Hepobu de Albuquerque,Fem,30,pardo,Ensino Superior,Rio Grande do Sul,5.0,Marketing,Analista Júnior,25.0
2509,Violeta de Barbosa,Fem,28,branco,Ensino Superior,Pará,0.0,Desenvolvimento de Produtos,Analista Pleno,28.0
2510,Aldo Aécio d'Ávila,Masc,46,pardo,Ensino Superior,Sergipe,9.0,Operações,Analista Júnior,37.0
2511,Arnaldo Inácio de Melo Tipo,Masc,30,branco,Ensino Superior,Minas Gerais,6.0,Contabilidade,Analista Sênior,24.0
2512,Ademar Alisson Gomes Júnior,Masc,30,branco,Ensino Superior,Bahia,5.0,Compras,Analista Júnior,25.0
2513,Guilherme Filipe Veuapernã da Silva,Masc,39,branco,Ensino Superior,Rondônia,5.0,Operações,Analista Pleno,34.0
2514,Benjamin de Freitas Neto,Masc,20,preto,Doutorado,Rio de Janeiro,6.0,Vendas,Analista Pleno,14.0
2515,Ciro de Araújo Júnior,Masc,20,branco,Ensino Superior,Piauí,1.0,Marketing,Analista Júnior,19.0
2516,Michel Ramon Oeão de Alvarenga,Masc,37,pardo,Ensino Superior,Rio de Janeiro,5.0,TI,Analista Júnior,32.0
2517,Martinho Laerte da Silva de Moreira,Masc,30,pardo,Pós graduação,Distrito Federal,5.0,Vendas,Analista Pleno,25.0
2518,Jeferson Mineiro,Masc,33,pardo,Mestrado,Mato Grosso,9.0,Vendas,Analista Sênior,24.0
2519,Luzimara Vânia de Ferraz,Fem,31,branco,Ensino Médio,Distrito Federal,7.0,Vendas,Analista Júnior,24.0
2520,Washington Eustáquio de Souza dos Santos,Masc,44,branco,Ensino Superior,Paraná,6.0,Contabilidade,Analista Júnior,38.0
2521,Cleuza Eleriane de Antunes,Fem,21,pardo,Pós graduação,Distrito Federal,3.0,Desenvolvimento de Produtos,Analista Júnior,18.0
2522,Olívia Hafazolvic Nei,Fem,34,pardo,Ensino Superior,Rondônia,3.0,Contabilidade,Analista Sênior,31.0
2523,Márcio Elano dos Santos de Palhares,Masc,20,branco,Ensino Superior,Amapá,6.0,Compras,Analista Sênior,14.0
2524,Israel Willian Hagize de Fernandes Terceiro,Masc,46,pardo,Pós graduação,Pernambuco,6.0,Compras,Analista Júnior,40.0
2525,Frederico Leopoldo de Barbosa,Masc,38,pardo,Ensino Superior,Minas Gerais,2.0,Administrativo,Analista Sênior,36.0
2526,Benjamin César de Meireles,Masc,33,branco,Mestrado,Rio Grande do Sul,5.0,Contabilidade,Analista Júnior,28.0
2527,Lino Ederson do Piauí,Masc,42,pardo,Ensino Superior,Alagoas,3.0,Contabilidade,Analista Júnior,39.0
2528,Ali Luiz da Graça,Masc,30,branco,Ensino Médio,Ceará,5.0,Compras,Analista Júnior,25.0
2529,Aécio de Souza Klein,Masc,24,pardo,Mestrado,Rio de Janeiro,3.0,Contabilidade,Analista Pleno,21.0
2530,Aparecida Anizme,Fem,21,pardo,Pós graduação,Minas Gerais,3.0,Administrativo,Gerente,18.0
2531,Aurélio da Gama,Masc,35,pardo,Pós graduação,Rio Grande do Sul,5.0,Vendas,Gerente,30.0
2532,Maria Arilda Gomes Asoyes Shinaulvic,Fem,46,pardo,Pós graduação,Paraná,6.0,Contabilidade,Estagiário,40.0
2533,Paulínia Valverde Prieiov,Fem,21,branco,Ensino Superior,Maranhão,1.0,Marketing,Gerente,20.0
2534,Jânio Filipe Penedo dos Santos Ahoan,Masc,36,branco,Ensino Superior,Rio Grande do Sul,13.0,TI,Gerente,23.0
2535,Otto Orlando Quairn,Masc,30,pardo,Ensino Superior,Rondônia,6.0,Desenvolvimento de Produtos,Analista Pleno,24.0
2536,Daniela Paula Gomes de Souza Kuse,Fem,25,pardo,Pós graduação,Rio Grande do Sul,4.0,Operações,Estagiário,21.0
2537,Walter Oliver Plupi de Paiva Júnior,Masc,31,pardo,Ensino Superior,Mato Grosso do Sul,5.0,Vendas,Gerente,26.0
2538,Ali da Silva Júnior,Masc,20,pardo,Ensino Superior,Minas Gerais,4.0,TI,Analista Júnior,16.0
2539,Angélica Augocle,Fem,43,pardo,Ensino Superior,Minas Gerais,5.0,Desenvolvimento de Produtos,Gerente,38.0
2540,Miguel Hércules Beepo Yiov de Duarte,Masc,30,pardo,Doutorado,Rio de Janeiro,5.0,Administrativo,Estagiário,25.0
2541,Josiel Uribe de Araújo Gomes Guedes,Masc,28,branco,Pós graduação,Paraná,13.0,Contabilidade,Analista Júnior,15.0
2542,Fred de Pacheco da Silva,Masc,45,pardo,Doutorado,Rio de Janeiro,2.0,Vendas,Analista Pleno,43.0
2543,Washington de Alvarenga,Masc,33,branco,Pós graduação,Bahia,2.0,TI,Analista Sênior,31.0
2544,Jorge da Cruz,Masc,23,pardo,Doutorado,Roraima,2.0,Operações,Analista Sênior,21.0
2545,Sérgio Albino de Souza,Masc,21,preto,Ensino Superior,São Paulo,3.0,Administrativo,Analista Júnior,18.0
2546,Walderice Somo,Fem,40,preto,Ensino Superior,Rio de Janeiro,5.0,TI,Analista Júnior,35.0
2547,Luciano Arthur Praeylboson,Masc,30,pardo,Ensino Superior,Minas Gerais,5.0,Compras,Analista Sênior,25.0
2548,Bóris Eliel Mourão de Oliveira Teles Júnior,Masc,18,branco,Ensino Superior,Santa Catarina,2.0,Marketing,Analista Júnior,16.0
2549,Ademar Anakin Ialvic Flennu Júnior,Masc,23,pardo,Ensino Superior,Rio de Janeiro,8.0,Recursos Humanos,Analista Júnior,15.0
2550,Emílio Ângelo Glevlobro Frias,Masc,26,pardo,Pós graduação,Paraná,6.0,TI,Analista Júnior,20.0
2551,Avelino Vaz Nunes Watsu Júnior,Masc,31,pardo,Pós graduação,Rio de Janeiro,8.0,Contabilidade,Analista Júnior,23.0
2552,Xavier Plínio da Silva dos Santos de Ramos Júnior,Masc,29,pardo,Pós graduação,São Paulo,12.0,Compras,Gerente,17.0
2553,Fabrício Herrera de Ayres,Masc,34,branco,Ensino Superior,Rio de Janeiro,5.0,TI,Analista Sênior,29.0
2554,Velma Vívian dos Santos,Fem,27,pardo,Ensino Superior,Piauí,8.0,Contabilidade,Analista Sênior,19.0
2555,Suely Maria de Alvarenga Zuzo,Fem,38,pardo,Ensino Superior,Minas Gerais,1.0,Desenvolvimento de Produtos,Analista Júnior,37.0
2556,Adônis de Barbosa Júnior,Masc,22,pardo,Ensino Superior,Paraná,7.0,Vendas,Analista Sênior,15.0
2557,Marciano da Silva,Masc,52,branco,Ensino Superior,São Paulo,,Administrativo,Analista Sênior,
2558,Israel de Pereira,Masc,33,pardo,Doutorado,Goiás,7.0,Recursos Humanos,Analista Júnior,26.0
2559,Jackson Nivaldo de Duarte da Silva Adoaer,Masc,23,pardo,Ensino Médio,Amazonas,0.0,Operações,Analista Pleno,23.0
2560,Eduarda Quênia Gewidyman,Fem,30,pardo,Ensino Superior,Pará,5.0,Compras,Analista Sênior,25.0
2561,Décio Olavo de Castro,Masc,30,pardo,Ensino Superior,Pará,5.0,Compras,Analista Sênior,25.0
2562,Emílio Petru Gimaman Condruo,Masc,22,branco,Ensino Superior,Rio Grande do Sul,5.0,Compras,Gerente,17.0
2563,Álvaro Bartolomeu Dias,Masc,32,branco,Pós graduação,São Paulo,6.0,TI,Analista Júnior,26.0
2564,Everton Charles Sodonoya da Silva Boiernov,Masc,33,branco,Ensino Superior,Maranhão,5.0,Compras,Analista Júnior,28.0
2565,Sérgio de Pascoal,Masc,35,branco,Mestrado,Santa Catarina,3.0,Administrativo,Analista Pleno,32.0
2566,Carolina Jéssica de Oliveira Gopa,Fem,32,pardo,Pós graduação,Mato Grosso,8.0,Vendas,Analista Júnior,24.0
2567,Beto de Sales Ugla Júnior,Masc,35,pardo,Ensino Superior,Minas Gerais,0.0,Administrativo,Analista Júnior,35.0
2568,Aldo de Bueno da Silva Sagutsu,Masc,32,pardo,Ensino Superior,Minas Gerais,12.0,TI,Analista Júnior,20.0
2569,Elano de Vasconcelos,Masc,25,pardo,Ensino Superior,Santa Catarina,7.0,Marketing,Analista Júnior,18.0
2570,Xilena Rute Durnrrai da Nóbrega,Fem,21,pardo,Ensino Superior,Rio de Janeiro,7.0,Desenvolvimento de Produtos,Estagiário,14.0
2571,Talita Nicole de Barros,Fem,20,pardo,Mestrado,Minas Gerais,3.0,TI,Estagiário,17.0
2572,Tatiane Rangel,Fem,31,pardo,Ensino Superior,Bahia,0.0,Compras,Gerente,31.0
2573,Bóris Emanoã Franaeson,Masc,26,pardo,Doutorado,Rio de Janeiro,5.0,Desenvolvimento de Produtos,Analista Sênior,21.0
2574,Jesus Valter de Macedo Fungydi,Masc,23,branco,Ensino Superior,São Paulo,9.0,Recursos Humanos,Analista Sênior,14.0
2575,Raíssa Cícera Mineiro Schneider,Fem,34,pardo,Mestrado,Bahia,2.0,Recursos Humanos,Gerente,32.0
2576,Batista Dante Fugazanu,Masc,30,pardo,Ensino Superior,São Paulo,5.0,Compras,Analista Pleno,25.0
2577,Emanoel Imare Thea,Masc,43,branco,Ensino Superior,Minas Gerais,7.0,Recursos Humanos,Analista Sênior,36.0
2578,Heron Edson de Queiroz,Masc,29,pardo,Ensino Superior,Santa Catarina,8.0,TI,Gerente,21.0
2579,Cristiane Isaiane Ditlomdenna,Fem,26,branco,Pós graduação,Rondônia,3.0,Contabilidade,Analista Pleno,23.0
2580,Leni Abozvic de Pimentel,Fem,41,pardo,Doutorado,Minas Gerais,6.0,Operações,Analista Júnior,35.0
2581,Evelyn de Pinheiro Zumako,Fem,28,pardo,Ensino Superior,Pará,,Desenvolvimento de Produtos,Analista Júnior,
2583,Berenice Bruna Rosa Vylcraov,Fem,29,pardo,Ensino Superior,Ceará,6.0,Recursos Humanos,Analista Pleno,23.0
2584,Juan Eliel Ketom,Masc,30,pardo,Pós graduação,São Paulo,5.0,Desenvolvimento de Produtos,Analista Pleno,25.0
2585,Oséas de Barbosa,Masc,21,branco,Pós graduação,Maranhão,3.0,Vendas,Analista Júnior,18.0
2586,Heloísa Cármen Ozasman,Fem,42,branco,Ensino Superior,Paraná,9.0,Operações,Estagiário,33.0
2587,Tatiana Marlene Branco d'Ávila,Fem,41,preto,Ensino Superior,São Paulo,3.0,Contabilidade,Analista Pleno,38.0
2588,Décio Hélio de Monteiro Júnior,Masc,28,branco,Ensino Superior,Paraná,8.0,Compras,Analista Júnior,20.0
2589,Reinaldo Zeca de Araújo Júnior,Masc,38,branco,Ensino Superior,Rondônia,9.0,Vendas,Analista Júnior,29.0
2590,Célia Paula de Oliveira Ekizbe,Fem,30,branco,Ensino Superior,Mato Grosso do Sul,3.0,Vendas,Analista Pleno,27.0
2591,Giuseppe Freire Fragoso Castelo,Masc,36,branco,Ensino Superior,Distrito Federal,7.0,Recursos Humanos,Analista Sênior,29.0
2592,João de Fonseca Neto,Masc,28,branco,Ensino Superior,Rondônia,5.0,Recursos Humanos,Analista Júnior,23.0
2593,Antônio Ademar Ycravono da Silva,Masc,30,branco,Ensino Superior,Mato Grosso,5.0,Operações,Analista Pleno,25.0
2594,Ivete Amélia Niebbeser de Leão,Fem,38,branco,Ensino Superior,Rio Grande do Sul,3.0,Compras,Analista Pleno,35.0
2595,Otávia Lúcia Drafroa,Fem,36,branco,Mestrado,Maranhão,1.0,Operações,Analista Pleno,35.0
2596,Hélio Breno de Pereira Moreno Milani,Masc,50,branco,Ensino Superior,São Paulo,4.0,Desenvolvimento de Produtos,Analista Pleno,46.0
2597,Edinaldo Iurntim,Masc,24,pardo,Ensino Superior,Paraná,7.0,Contabilidade,Analista Sênior,17.0
2598,Sílvio Mateus da Cunha dos Santos,Masc,25,pardo,Ensino Superior,Pará,6.0,Operações,Analista Pleno,19.0
2599,Felícia Aline dos Santos de Sales Tekrocoliov,Fem,33,pardo,Mestrado,Paraíba,6.0,Marketing,Analista Pleno,27.0
2600,Baltazar Rodrigo Rosatto de Bueno Rolni,Masc,28,branco,Ensino Médio,São Paulo,5.0,TI,Analista Sênior,23.0
2601,Léia da Silva,Fem,27,pardo,Doutorado,Sergipe,6.0,Compras,Analista Júnior,21.0
2602,Amarildo Olona de Salgado,Masc,27,pardo,Ensino Superior,Maranhão,4.0,Compras,Estagiário,23.0
2603,Jacinto Karl Alozã de Barbosa Ibaman,Masc,20,branco,Ensino Superior,Pernambuco,3.0,TI,Diretor,17.0
2604,Wilson Eonman de Ortiz Duru,Masc,42,preto,Ensino Superior,Pará,6.0,TI,Estagiário,36.0
2605,Antônio Sandro Rogukiru,Masc,34,branco,Ensino Superior,Santa Catarina,0.0,Administrativo,Analista Pleno,34.0
2606,Adônis Nicolas Borba Branco Júnior,Masc,26,preto,Pós graduação,São Paulo,8.0,Vendas,Estagiário,18.0
2607,Armando Gapeu,Masc,34,pardo,Ensino Superior,Maranhão,4.0,Marketing,Diretor,30.0
2608,Eduardo Pedro da Silva,Masc,30,pardo,Mestrado,Minas Gerais,5.0,Administrativo,Analista Júnior,25.0
2609,Walderice Etroão Barni,Fem,35,branco,Ensino Superior,Paraíba,5.0,Desenvolvimento de Produtos,Analista Sênior,30.0
2610,Jeferson de Monteiro,Masc,30,indígena,Ensino Superior,Maranhão,2.0,Contabilidade,Analista Júnior,28.0
2611,Elaine Charlene dos Santos,Fem,36,branco,Ensino Médio,Rio Grande do Norte,6.0,Compras,Estagiário,30.0
2612,Lidiane da Paz de Silveira,Fem,37,pardo,Ensino Superior,Pernambuco,7.0,Desenvolvimento de Produtos,Gerente,30.0
2614,Fabiano Valverde,Masc,36,branco,Ensino Superior,Minas Gerais,4.0,Marketing,Analista Pleno,32.0
2615,João Fitas,Masc,22,pardo,Doutorado,Minas Gerais,5.0,Marketing,Analista Sênior,17.0
2616,Robert Micael Weiss Pahiga de Figueira,Masc,22,branco,Doutorado,Tocantins,4.0,Desenvolvimento de Produtos,Analista Pleno,18.0
2617,Ayrton de Souza da Gama,Masc,35,pardo,Ensino Médio,Minas Gerais,4.0,Desenvolvimento de Produtos,Gerente,31.0
2618,Fátima Vanda Ilimson da Nóbrega de Pereira,Fem,18,pardo,Ensino Superior,Santa Catarina,2.0,Contabilidade,Analista Júnior,16.0
2619,Marina de Vieira Ivilman,Fem,55,branco,Ensino Superior,Ceará,6.0,TI,Analista Sênior,49.0
2620,Toninho Mariano de Vieira Nioian,Masc,40,branco,Ensino Superior,Mato Grosso do Sul,3.0,Compras,Estagiário,37.0
2621,Walter de Oliveira Plazido Valverde,Masc,29,pardo,Ensino Superior,Distrito Federal,2.0,Contabilidade,Analista Sênior,27.0
2622,Olavo Wellington Cebievic Taco Júnior,Masc,26,pardo,Mestrado,Paraná,6.0,Compras,Analista Júnior,20.0
2623,Willian de Jesus,Masc,36,branco,Pós graduação,Rondônia,3.0,Recursos Humanos,Estagiário,33.0
2624,Áureo Leonardo de Lemos,Masc,26,pardo,Ensino Superior,São Paulo,5.0,Marketing,Analista Sênior,21.0
